School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Williams High School,Williams Unified District,Math,151,37,Percent Performance Level 3,30
Wilson Elementary School,Wilson Elementary District,Math,744,31,Percent Performance Level 3,23
Wilson Primary School,Wilson Elementary District,Math,112,34,Percent Performance Level 3,28
Tsehootsooi Dine Bi'Olta,Window Rock Unified District,Math,70,21,Percent Performance Level 3,16
Tsehootsooi Intermediate Learning Center,Window Rock Unified District,Math,381,19,Percent Performance Level 3,17
Tsehootsooi Primary Learning Center,Window Rock Unified District,Math,105,30,Percent Performance Level 3,19
Bonnie Brennan School,Winslow Unified District,Math,300,52,Percent Performance Level 3,35
Washington School,Winslow Unified District,Math,300,36,Percent Performance Level 3,27
Winslow Junior High School,Winslow Unified District,Math,349,34,Percent Performance Level 3,25
Young Scholars Academy,Young Scholars Academy Charter School Corp.,Math,266,39,Percent Performance Level 3,30
Yucca Elementary School,Yucca Elementary District,Math,17,53,Percent Performance Level 3,29
Alice Byrne Elementary School,Yuma Elementary District,Math,176,67,Percent Performance Level 3,45
C W Mcgraw Elementary School,Yuma Elementary District,Math,277,56,Percent Performance Level 3,33
Castle Dome Middle School,Yuma Elementary District,Math,925,31,Percent Performance Level 3,21
Desert Mesa Elementary School,Yuma Elementary District,Math,358,52,Percent Performance Level 3,35
Fourth Avenue Junior High School,Yuma Elementary District,Math,431,19,Percent Performance Level 3,15
George Washington Carver Elementary School,Yuma Elementary District,Math,280,24,Percent Performance Level 3,20
Gila Vista Jr High School,Yuma Elementary District,Math,473,19,Percent Performance Level 3,12
James B Rolle School,Yuma Elementary District,Math,338,53,Percent Performance Level 3,34
James D Price School,Yuma Elementary District,Math,35,46,Percent Performance Level 3,26
Mary A Otondo Elementary School,Yuma Elementary District,Math,401,41,Percent Performance Level 3,32
O C Johnson School,Yuma Elementary District,Math,228,50,Percent Performance Level 3,30
Palmcroft Elementary School,Yuma Elementary District,Math,260,48,Percent Performance Level 3,32
Pecan Grove Elementary School,Yuma Elementary District,Math,133,33,Percent Performance Level 3,29
R Pete Woodard Jr High School,Yuma Elementary District,Math,674,22,Percent Performance Level 3,14
Ron Watson Middle School,Yuma Elementary District,Math,401,39,Percent Performance Level 3,22
Roosevelt School,Yuma Elementary District,Math,170,36,Percent Performance Level 3,24
Sunrise Elementary School,Yuma Elementary District,Math,321,61,Percent Performance Level 3,39
Cibola High School,Yuma Union High School District,Math,1202,39,Percent Performance Level 3,33
Gila Ridge High School,Yuma Union High School District,Math,1123,27,Percent Performance Level 3,24
San Luis High School,Yuma Union High School District,Math,1946,18,Percent Performance Level 3,15
Verde Valley Montessori School - A Center for Creative Education,A Center for Creative Education,Math,32,38,Percent Performance Level 4,16
Academy Del Sol - Hope,"Academy Del Sol, Inc.",Math,347,46,Percent Performance Level 4,13
Academy of Building Industries,"Academy of Building Industries, Inc.",Math,52,19,Percent Performance Level 4,2
Academy of Mathematics and Science South,"Academy of Mathematics and Science South, Inc.",Math,321,39,Percent Performance Level 4,11
Academy of Math and Science,"Academy of Mathematics and Science, Inc.",Math,264,76,Percent Performance Level 4,34
Academy of Math and Science Camelback,"Academy of Mathematics and Science, Inc.",Math,576,31,Percent Performance Level 4,9
Academy of Tucson Elementary School,"Academy of Tucson, Inc.",Math,101,40,Percent Performance Level 4,8
Academy of Tucson High School,"Academy of Tucson, Inc.",Math,109,40,Percent Performance Level 4,3
Academy of Tucson Middle School,"Academy of Tucson, Inc.",Math,268,36,Percent Performance Level 4,10
Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools,Math,94,55,Percent Performance Level 4,19
ACCLAIM Academy,Acclaim Charter School,Math,246,23,Percent Performance Level 4,4
Acorn Montessori Charter School,Acorn Montessori Charter School,Math,261,56,Percent Performance Level 4,20
Agua Fria High School,Agua Fria Union High School District,Math,1343,33,Percent Performance Level 4,9
Desert Edge High School,Agua Fria Union High School District,Math,1144,33,Percent Performance Level 4,7
Millennium High School,Agua Fria Union High School District,Math,1667,38,Percent Performance Level 4,12
Verrado High School,Agua Fria Union High School District,Math,1474,40,Percent Performance Level 4,13
Aguila Elementary School,Aguila Elementary District,Math,105,46,Percent Performance Level 4,13
Ajo Elementary School,Ajo Unified District,Math,212,29,Percent Performance Level 4,9
Ajo High School,Ajo Unified District,Math,105,14,Percent Performance Level 4,3
Akimel O'Otham Pee Posh (3-5),"Akimel O'Otham Pee Posh Charter School, Inc.",Math,129,32,Percent Performance Level 4,4
Andalucia Middle School,Alhambra Elementary District,Math,1077,27,Percent Performance Level 4,8
Barcelona Middle School,Alhambra Elementary District,Math,725,21,Percent Performance Level 4,6
Carol G. Peck Elementary School,Alhambra Elementary District,Math,148,48,Percent Performance Level 4,15
Catalina Ventura School,Alhambra Elementary District,Math,877,35,Percent Performance Level 4,8
Cordova Elementary School,Alhambra Elementary District,Math,653,33,Percent Performance Level 4,12
Granada East School,Alhambra Elementary District,Math,1119,26,Percent Performance Level 4,5
Granada Primary School,Alhambra Elementary District,Math,204,51,Percent Performance Level 4,21
James W. Rice Primary School,Alhambra Elementary District,Math,215,29,Percent Performance Level 4,8
Montebello School,Alhambra Elementary District,Math,884,20,Percent Performance Level 4,6
R E Simpson School,Alhambra Elementary District,Math,862,27,Percent Performance Level 4,7
Sevilla Primary School,Alhambra Elementary District,Math,215,35,Percent Performance Level 4,11
Sevilla West School,Alhambra Elementary District,Math,1183,40,Percent Performance Level 4,15
Westwood Primary School,Alhambra Elementary District,Math,188,24,Percent Performance Level 4,6
All Aboard Charter School,All Aboard Charter School,Math,59,39,Percent Performance Level 4,12
Center for Educational Excellence,"Allen-Cochran Enterprises, Inc.",Math,203,62,Percent Performance Level 4,21
Alpine Elementary School,Alpine Elementary District,Math,38,74,Percent Performance Level 4,26
Altar Valley Middle School,Altar Valley Elementary District,Math,291,29,Percent Performance Level 4,10
Robles Elementary School,Altar Valley Elementary District,Math,130,32,Percent Performance Level 4,9
Burke Basic School,American Basic Schools LLC,Math,453,54,Percent Performance Level 4,24
Alta Vista High School,American Charter Schools Foundation d.b.a. Alta Vista High School,Math,373,23,Percent Performance Level 4,4
Desert Hills High School,American Charter Schools Foundation d.b.a. Desert Hills High School,Math,116,7,Percent Performance Level 4,2
South Pointe High School,American Charter Schools Foundation d.b.a. South Pointe High School,Math,225,13,Percent Performance Level 4,2
South Ridge High School,American Charter Schools Foundation d.b.a. South Ridge High School,Math,180,34,Percent Performance Level 4,8
American Heritage Academy - Camp Verde,American Heritage Academy,Math,100,29,Percent Performance Level 4,7
American Heritage Academy - Cottonwood,American Heritage Academy,Math,208,31,Percent Performance Level 4,6
ALA Mesa,"American Leadership Academy, Inc.",Math,239,65,Percent Performance Level 4,27
ALA San Tan,"American Leadership Academy, Inc.",Math,376,67,Percent Performance Level 4,26
American Leadership Academy,"American Leadership Academy, Inc.",Math,261,79,Percent Performance Level 4,42
American Leadership Academy - Ironwood,"American Leadership Academy, Inc.",Math,1577,51,Percent Performance Level 4,16
American Leadership Academy - Queen Creek,"American Leadership Academy, Inc.",Math,1562,55,Percent Performance Level 4,20
American Leadership Academy Anthem South Campus,"American Leadership Academy, Inc.",Math,179,62,Percent Performance Level 4,25
American Leadership Academy Signal Butte,"American Leadership Academy, Inc.",Math,76,62,Percent Performance Level 4,25
"American Leadership Academy, Gilbert","American Leadership Academy, Inc.",Math,1255,52,Percent Performance Level 4,19
"American Leadership Academy, Higley","American Leadership Academy, Inc.",Math,65,78,Percent Performance Level 4,29
Primavera - Online,American Virtual Academy,Math,566,23,Percent Performance Level 4,5
Amphitheater High School,Amphitheater Unified District,Math,706,19,Percent Performance Level 4,2
Amphitheater Middle School,Amphitheater Unified District,Math,743,16,Percent Performance Level 4,3
Canyon Del Oro High School,Amphitheater Unified District,Math,792,43,Percent Performance Level 4,11
Copper Creek Elementary School,Amphitheater Unified District,Math,218,48,Percent Performance Level 4,15
Coronado K-8 School,Amphitheater Unified District,Math,711,46,Percent Performance Level 4,16
E C Nash School,Amphitheater Unified District,Math,179,26,Percent Performance Level 4,4
Frances Owen Holaway Elementary School,Amphitheater Unified District,Math,184,30,Percent Performance Level 4,4
Helen Keeling Elementary School,Amphitheater Unified District,Math,190,15,Percent Performance Level 4,2
Ironwood Ridge High School,Amphitheater Unified District,Math,1128,34,Percent Performance Level 4,6
L M Prince School,Amphitheater Unified District,Math,316,17,Percent Performance Level 4,3
La Cima Middle School,Amphitheater Unified District,Math,463,31,Percent Performance Level 4,7
Lawrence W Cross Middle School,Amphitheater Unified District,Math,663,51,Percent Performance Level 4,19
Lulu Walker School,Amphitheater Unified District,Math,217,51,Percent Performance Level 4,9
Marion Donaldson Elementary School,Amphitheater Unified District,Math,158,39,Percent Performance Level 4,11
Mesa Verde Elementary School,Amphitheater Unified District,Math,187,65,Percent Performance Level 4,22
Painted Sky Elementary School,Amphitheater Unified District,Math,221,74,Percent Performance Level 4,36
Richard B Wilson Jr School,Amphitheater Unified District,Math,1006,57,Percent Performance Level 4,26
Rio Vista Elementary School,Amphitheater Unified District,Math,244,44,Percent Performance Level 4,10
The Innovation Academy,Amphitheater Unified District,Math,132,71,Percent Performance Level 4,29
Winifred Harelson Elementary School,Amphitheater Unified District,Math,305,68,Percent Performance Level 4,30
Great Hearts Academies - Anthem Prep,Anthem Preparatory Academy,Math,531,66,Percent Performance Level 4,29
Apache Junction High School,Apache Junction Unified District,Math,833,19,Percent Performance Level 4,2
Cactus Canyon Junior High,Apache Junction Unified District,Math,642,30,Percent Performance Level 4,13
Desert Vista Elementary School,Apache Junction Unified District,Math,406,39,Percent Performance Level 4,11
Four Peaks Elementary School,Apache Junction Unified District,Math,423,37,Percent Performance Level 4,11
Peralta Trail Elementary School,Apache Junction Unified District,Math,303,44,Percent Performance Level 4,15
Southside Community School,Aprender Tucson,Math,167,31,Percent Performance Level 4,7
Great Hearts Academies - Archway Arete,Archway Classical Academy Arete,Math,253,83,Percent Performance Level 4,47
Great Hearts Academies - Archway Chandler,Archway Classical Academy Chandler,Math,264,88,Percent Performance Level 4,52
Great Hearts Academies - Archway Cicero,Archway Classical Academy Cicero,Math,253,79,Percent Performance Level 4,36
Great Hearts Academies - Archway Glendale,Archway Classical Academy Glendale,Math,268,84,Percent Performance Level 4,38
Great Hearts Academies - Archway Lincoln,Archway Classical Academy Lincoln,Math,330,84,Percent Performance Level 4,46
Great Hearts Academies - Archway North Phoenix,Archway Classical Academy North Phoenix,Math,445,71,Percent Performance Level 4,23
Great Hearts Academies - Archway Scottsdale,Archway Classical Academy Scottsdale,Math,152,94,Percent Performance Level 4,50
Great Hearts Academies - Archway Trivium East,Archway Classical Academy Trivium East,Math,237,69,Percent Performance Level 4,29
Great Hearts Academies - Archway Trivium West,Archway Classical Academy Trivium West,Math,261,78,Percent Performance Level 4,35
Great Hearts Academies - Archway Veritas,Archway Classical Academy Veritas,Math,265,77,Percent Performance Level 4,32
Great Hearts Academies - Arete Prep,Arete Preparatory Academy,Math,393,58,Percent Performance Level 4,22
"Arizona Agribusiness & Equine Center, Inc. - Mesa",Arizona Agribusiness & Equine Center INC.,Math,39,38,Percent Performance Level 4,8
AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",Math,236,58,Percent Performance Level 4,15
AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",Math,359,28,Percent Performance Level 4,4
Arizona Agribusiness & Equine Center - Estrella,"Arizona Agribusiness & Equine Center, Inc.",Math,316,67,Percent Performance Level 4,20
"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley","Arizona Agribusiness & Equine Center, Inc.",Math,179,50,Percent Performance Level 4,11
"Arizona Agribusiness & Equine Center, Inc. - Red Mountain","Arizona Agribusiness & Equine Center, Inc.",Math,101,51,Percent Performance Level 4,5
La Paloma Academy,Arizona Community Development Corporation,Math,477,45,Percent Performance Level 4,13
La Paloma Academy (Lakeside),Arizona Community Development Corporation,Math,505,42,Percent Performance Level 4,11
La Paloma Academy-South,Arizona Community Development Corporation,Math,274,15,Percent Performance Level 4,3
Arizona Connections Academy,"Arizona Connections Academy Charter School, Inc.",Math,1635,27,Percent Performance Level 4,8
Arizona Language Preparatory,Arizona Language Preparatory,Math,15,67,Percent Performance Level 4,47
AMCS at Anthem dba Caurus Academy,Arizona Montessori Charter School at Anthem,Math,254,63,Percent Performance Level 4,32
Arizona School For The Arts,Arizona School For The Arts,Math,699,65,Percent Performance Level 4,25
Arlington Elementary School,Arlington Elementary District,Math,170,41,Percent Performance Level 4,9
Ash Creek Elementary,Ash Creek Elementary District,Math,13,54,Percent Performance Level 4,15
Ash Fork Elementary School,Ash Fork Joint Unified District,Math,70,64,Percent Performance Level 4,29
Ash Fork High School,Ash Fork Joint Unified District,Math,52,42,Percent Performance Level 4,2
Ash Fork Middle School,Ash Fork Joint Unified District,Math,66,55,Percent Performance Level 4,29
ASU Preparatory Academy - Phoenix Middle School,ASU Preparatory Academy,Math,352,33,Percent Performance Level 4,14
ASU Preparatory Academy - Tempe,ASU Preparatory Academy,Math,18,22,Percent Performance Level 4,11
ASU Preparatory Academy- Phoenix Elementary,ASU Preparatory Academy,Math,157,43,Percent Performance Level 4,12
ASU Preparatory Academy- Phoenix High School,ASU Preparatory Academy,Math,275,48,Percent Performance Level 4,16
ASU Preparatory Academy-Polytechnic Elementary,ASU Preparatory Academy,Math,144,78,Percent Performance Level 4,42
ASU Preparatory Academy-Polytechnic High School,ASU Preparatory Academy,Math,191,65,Percent Performance Level 4,24
ASU Preparatory Academy-Polytechnic Middle School,ASU Preparatory Academy,Math,292,63,Percent Performance Level 4,26
ASU Preparatory Academy - Casa Grande HS,ASU Preparatory Academy - Casa Grande,Math,114,61,Percent Performance Level 4,13
ASU Preparatory Academy Digital,ASU Preparatory Academy Digital,Math,28,61,Percent Performance Level 4,14
Avondale Middle School,Avondale Elementary District,Math,431,28,Percent Performance Level 4,8
Centerra Mirage STEM Academy,Avondale Elementary District,Math,373,53,Percent Performance Level 4,31
Copper Trails,Avondale Elementary District,Math,767,49,Percent Performance Level 4,18
Desert Star,Avondale Elementary District,Math,504,34,Percent Performance Level 4,13
Desert Thunder,Avondale Elementary District,Math,482,44,Percent Performance Level 4,18
Eliseo C. Felix School,Avondale Elementary District,Math,382,24,Percent Performance Level 4,6
Michael Anderson,Avondale Elementary District,Math,609,39,Percent Performance Level 4,12
Wildflower School,Avondale Elementary District,Math,286,63,Percent Performance Level 4,34
Baboquivari High School,Baboquivari Unified School District #40,Math,149,11,Percent Performance Level 4,2
Indian Oasis Intermediate Elementary School,Baboquivari Unified School District #40,Math,233,28,Percent Performance Level 4,6
Indian Oasis Primary Elementary School,Baboquivari Unified School District #40,Math,93,23,Percent Performance Level 4,3
Bagdad Elementary School,Bagdad Unified District,Math,118,30,Percent Performance Level 4,5
Bagdad Middle / Senior High School,Bagdad Unified District,Math,181,20,Percent Performance Level 4,6
"Dobson Academy, The - A Ball Charter School",Ball Charter Schools (Dobson),Math,278,51,Percent Performance Level 4,19
"Hearn Academy, The - A Ball Charter School",Ball Charter Schools (Hearn),Math,465,77,Percent Performance Level 4,45
Ball Charter Schools (Val Vista),Ball Charter Schools (Val Vista),Math,179,59,Percent Performance Level 4,28
Balsz Elementary School,Balsz Elementary District,Math,733,25,Percent Performance Level 4,10
Brunson-Lee Elementary School,Balsz Elementary District,Math,202,19,Percent Performance Level 4,2
David Crockett Elementary School,Balsz Elementary District,Math,239,26,Percent Performance Level 4,6
Griffith Elementary School,Balsz Elementary District,Math,272,28,Percent Performance Level 4,7
BASIS Ahwatukee,"BASIS Schools, Inc.",Math,561,91,Percent Performance Level 4,56
BASIS Chandler Primary - North Campus,"BASIS Schools, Inc.",Math,223,87,Percent Performance Level 4,53
BASIS Flagstaff,"BASIS Schools, Inc.",Math,479,86,Percent Performance Level 4,44
BASIS Goodyear,"BASIS Schools, Inc.",Math,249,87,Percent Performance Level 4,47
BASIS Goodyear Primary,"BASIS Schools, Inc.",Math,275,76,Percent Performance Level 4,35
BASIS Mesa,"BASIS Schools, Inc.",Math,596,87,Percent Performance Level 4,49
BASIS Oro Valley Primary,"BASIS Schools, Inc.",Math,375,90,Percent Performance Level 4,50
BASIS Peoria Primary,"BASIS Schools, Inc.",Math,254,90,Percent Performance Level 4,43
BASIS Phoenix,"BASIS Schools, Inc.",Math,656,88,Percent Performance Level 4,57
BASIS Phoenix Central Primary,"BASIS Schools, Inc.",Math,432,77,Percent Performance Level 4,36
BASIS Prescott,"BASIS Schools, Inc.",Math,525,84,Percent Performance Level 4,44
BASIS Scottsdale Primary,"BASIS Schools, Inc.",Math,139,93,Percent Performance Level 4,55
BASIS Tucson North,"BASIS Schools, Inc.",Math,713,90,Percent Performance Level 4,50
Beaver Creek School,Beaver Creek Elementary District,Math,191,20,Percent Performance Level 4,5
Imagine Bell Canyon,"Bell Canyon Charter School, Inc",Math,219,47,Percent Performance Level 4,17
Benchmark School,"Benchmark School, Inc.",Math,232,80,Percent Performance Level 4,34
Benjamin Franklin Charter School - Crismon,Benjamin Franklin Charter School,Math,398,64,Percent Performance Level 4,21
Benjamin Franklin Charter School - Gilbert,Benjamin Franklin Charter School,Math,291,70,Percent Performance Level 4,28
Benjamin Franklin Charter School - Power,Benjamin Franklin Charter School,Math,410,73,Percent Performance Level 4,31
Benjamin Franklin High School,Benjamin Franklin Charter School,Math,931,62,Percent Performance Level 4,24
Benson High School,Benson Unified School District,Math,301,52,Percent Performance Level 4,12
Benson Middle School,Benson Unified School District,Math,295,49,Percent Performance Level 4,13
Benson Primary School,Benson Unified School District,Math,286,61,Percent Performance Level 4,25
Bisbee High School,Bisbee Unified District,Math,251,14,Percent Performance Level 4,2
Greenway Primary School,Bisbee Unified District,Math,98,43,Percent Performance Level 4,12
Lowell School,Bisbee Unified District,Math,188,37,Percent Performance Level 4,11
Sky Islands,Blue Adobe Project,Math,51,35,Percent Performance Level 4,8
Blue Ridge Elementary School,Blue Ridge Unified School District No. 32,Math,630,35,Percent Performance Level 4,9
Blue Ridge High School,Blue Ridge Unified School District No. 32,Math,587,20,Percent Performance Level 4,5
Blue Ridge Jr High School,Blue Ridge Unified School District No. 32,Math,395,38,Percent Performance Level 4,17
Bonita Elementary School,Bonita Elementary District,Math,56,48,Percent Performance Level 4,11
Mesa Arts Academy,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,Math,153,49,Percent Performance Level 4,15
Bright Beginnings School #1,"Bright Beginnings School, Inc.",Math,123,81,Percent Performance Level 4,42
Bales Elementary School,Buckeye Elementary District,Math,574,14,Percent Performance Level 4,2
Buckeye Elementary School,Buckeye Elementary District,Math,516,20,Percent Performance Level 4,5
Inca Elementary School,Buckeye Elementary District,Math,580,26,Percent Performance Level 4,6
Marionneaux Elementary School,Buckeye Elementary District,Math,536,21,Percent Performance Level 4,4
Steven R. Jasinski Elementary School,Buckeye Elementary District,Math,323,28,Percent Performance Level 4,4
Sundance Elementary,Buckeye Elementary District,Math,547,34,Percent Performance Level 4,13
Westpark Elementary School,Buckeye Elementary District,Math,496,40,Percent Performance Level 4,17
Buckeye Union High School,Buckeye Union High School District,Math,838,35,Percent Performance Level 4,6
Estrella Foothills High School,Buckeye Union High School District,Math,787,51,Percent Performance Level 4,13
Youngker High School,Buckeye Union High School District,Math,1010,40,Percent Performance Level 4,11
Bullhead City Jr High School,Bullhead City School District,Math,405,21,Percent Performance Level 4,6
Desert Valley School,Bullhead City School District,Math,450,30,Percent Performance Level 4,9
Diamondback Elementary School,Bullhead City School District,Math,281,42,Percent Performance Level 4,14
Fox Creek Jr High School,Bullhead City School District,Math,490,30,Percent Performance Level 4,11
Sunrise Elementary,Bullhead City School District,Math,187,34,Percent Performance Level 4,8
Learning Foundation and Performing Arts Alta Mesa,"CAFA, Inc. dba Learning Foundation and Performing Arts Alta Mesa",Math,150,21,Percent Performance Level 4,3
Learning Foundation and Performing Arts Gilbert,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",Math,364,30,Percent Performance Level 4,5
Learning Foundation and Performing Arts Warner,"CAFA, Inc. dba Learning Foundation and Performing Arts Gilbert",Math,258,57,Percent Performance Level 4,24
Learning Foundation,"CAFA, Inc. dba Learning Foundation Performing Arts School",Math,95,51,Percent Performance Level 4,16
Calibre Academy Surprise,Calibre Academy,Math,327,41,Percent Performance Level 4,13
Cambridge Academy East,"Cambridge Academy  East,  Inc",Math,89,49,Percent Performance Level 4,13
Cambridge Academy East,"Cambridge Academy  East,  Inc",Math,87,53,Percent Performance Level 4,16
Camelback Academy,"Camelback Education, Inc",Math,364,28,Percent Performance Level 4,6
Camp Verde Elementary School,Camp Verde Unified District,Math,338,30,Percent Performance Level 4,7
Camp Verde Middle School,Camp Verde Unified District,Math,350,20,Percent Performance Level 4,4
Candeo Peoria,"Candeo Schools, Inc.",Math,361,87,Percent Performance Level 4,46
Canon School,Canon Elementary District,Math,89,21,Percent Performance Level 4,3
Canyon Rose Academy-East,"Canyon Rose Academy, Inc.",Math,29,14,Percent Performance Level 4,7
Carden of Tucson,"Carden of Tucson, Inc.",Math,71,51,Percent Performance Level 4,17
Career Success School - Sage Campus,Career Success Schools,Math,97,11,Percent Performance Level 4,2
Carpe Diem Collegiate High School dba Carpe Diem e-Learning Community,Carpe Diem Collegiate High School,Math,212,24,Percent Performance Level 4,7
Bret R. Tarver,Cartwright Elementary District,Math,382,37,Percent Performance Level 4,10
Cartwright School,Cartwright Elementary District,Math,525,19,Percent Performance Level 4,3
Charles W. Harris School,Cartwright Elementary District,Math,810,19,Percent Performance Level 4,3
Desert Sands Middle School,Cartwright Elementary District,Math,1038,15,Percent Performance Level 4,3
Estrella Middle School,Cartwright Elementary District,Math,1227,23,Percent Performance Level 4,6
Frank Borman School,Cartwright Elementary District,Math,782,23,Percent Performance Level 4,5
G. Frank Davidson,Cartwright Elementary District,Math,357,28,Percent Performance Level 4,6
Glenn L. Downs School,Cartwright Elementary District,Math,533,28,Percent Performance Level 4,8
Heatherbrae School,Cartwright Elementary District,Math,384,46,Percent Performance Level 4,18
Holiday Park School,Cartwright Elementary District,Math,354,23,Percent Performance Level 4,4
John F. Long,Cartwright Elementary District,Math,417,41,Percent Performance Level 4,13
Justine Spitalny School,Cartwright Elementary District,Math,301,37,Percent Performance Level 4,9
Manuel Pena Jr. School,Cartwright Elementary District,Math,383,23,Percent Performance Level 4,4
Marc T. Atkinson Middle School,Cartwright Elementary District,Math,1274,20,Percent Performance Level 4,7
Palm Lane,Cartwright Elementary District,Math,479,41,Percent Performance Level 4,14
Peralta School,Cartwright Elementary District,Math,467,31,Percent Performance Level 4,7
Raul H. Castro Middle School,Cartwright Elementary District,Math,865,12,Percent Performance Level 4,2
Starlight Park School,Cartwright Elementary District,Math,434,31,Percent Performance Level 4,6
Sunset School,Cartwright Elementary District,Math,380,81,Percent Performance Level 4,43
Tomahawk School,Cartwright Elementary District,Math,440,36,Percent Performance Level 4,8
Cactus Middle School,Casa Grande Elementary District,Math,887,24,Percent Performance Level 4,5
Casa Grande Middle School,Casa Grande Elementary District,Math,617,10,Percent Performance Level 4,2
Cholla Elementary School,Casa Grande Elementary District,Math,244,35,Percent Performance Level 4,12
Cottonwood Elementary School,Casa Grande Elementary District,Math,218,24,Percent Performance Level 4,7
Desert Willow Elementary School,Casa Grande Elementary District,Math,315,49,Percent Performance Level 4,15
Evergreen Elementary School,Casa Grande Elementary District,Math,239,24,Percent Performance Level 4,4
Ironwood School,Casa Grande Elementary District,Math,256,35,Percent Performance Level 4,9
McCartney Ranch Elementary School,Casa Grande Elementary District,Math,373,42,Percent Performance Level 4,8
Mesquite Elementary School,Casa Grande Elementary District,Math,228,16,Percent Performance Level 4,5
Palo Verde School,Casa Grande Elementary District,Math,234,34,Percent Performance Level 4,8
Villago Middle School,Casa Grande Elementary District,Math,957,41,Percent Performance Level 4,13
Casa Grande Union High School,Casa Grande Union High School District,Math,1111,19,Percent Performance Level 4,3
Vista Grande High School,Casa Grande Union High School District,Math,831,20,Percent Performance Level 4,4
Canyon View Elementary School,Catalina Foothills Unified District,Math,216,69,Percent Performance Level 4,36
Catalina Foothills High School,Catalina Foothills Unified District,Math,1094,72,Percent Performance Level 4,32
Esperero Canyon Middle School,Catalina Foothills Unified District,Math,710,65,Percent Performance Level 4,35
Manzanita School,Catalina Foothills Unified District,Math,306,73,Percent Performance Level 4,31
Orange Grove Middle School,Catalina Foothills Unified District,Math,762,73,Percent Performance Level 4,46
Sunrise Drive Elementary School,Catalina Foothills Unified District,Math,312,77,Percent Performance Level 4,38
Ventana Vista Elementary School,Catalina Foothills Unified District,Math,264,65,Percent Performance Level 4,26
Black Mountain Elementary School,Cave Creek Unified District,Math,285,59,Percent Performance Level 4,25
Cactus Shadows High School,Cave Creek Unified District,Math,1151,50,Percent Performance Level 4,13
Desert Sun Academy,Cave Creek Unified District,Math,215,58,Percent Performance Level 4,20
Desert Willow Elementary School,Cave Creek Unified District,Math,386,63,Percent Performance Level 4,23
Horseshoe Trails Elementary School,Cave Creek Unified District,Math,381,84,Percent Performance Level 4,48
Lone Mountain Elementary School,Cave Creek Unified District,Math,331,83,Percent Performance Level 4,43
Sonoran Trails Middle School,Cave Creek Unified District,Math,899,63,Percent Performance Level 4,27
Center for Academic Success #4,"Center for Academic Success, Inc.",Math,255,47,Percent Performance Level 4,15
Center for Academic Success #5,"Center for Academic Success, Inc.",Math,267,28,Percent Performance Level 4,5
"Center for Academic Success, The #1","Center for Academic Success, Inc.",Math,101,27,Percent Performance Level 4,4
"Center for Academic Success, The #2","Center for Academic Success, Inc.",Math,134,20,Percent Performance Level 4,3
"Center for Academic Success, The #3","Center for Academic Success, Inc.",Math,104,45,Percent Performance Level 4,13
Challenge Charter School,"Challenge School, Inc.",Math,234,68,Percent Performance Level 4,24
Great Hearts Academies - Chandler Prep,Chandler Preparatory Academy,Math,557,80,Percent Performance Level 4,40
Anna Marie Jacobson  Elementary School,Chandler Unified District #80,Math,612,63,Percent Performance Level 4,29
Audrey & Robert Ryan Elementary,Chandler Unified District #80,Math,540,78,Percent Performance Level 4,38
Basha Elementary,Chandler Unified District #80,Math,405,66,Percent Performance Level 4,29
Basha High School,Chandler Unified District #80,Math,1727,56,Percent Performance Level 4,20
Bogle Junior High School,Chandler Unified District #80,Math,1675,60,Percent Performance Level 4,31
Chandler High School,Chandler Unified District #80,Math,2094,33,Percent Performance Level 4,8
Chandler Online Academy,Chandler Unified District #80,Math,519,60,Percent Performance Level 4,21
Chandler Traditional Academy - Goodman,Chandler Unified District #80,Math,379,80,Percent Performance Level 4,38
Chandler Traditional Academy - Independence,Chandler Unified District #80,Math,444,90,Percent Performance Level 4,52
Chandler Traditional Academy - Liberty Campus,Chandler Unified District #80,Math,350,78,Percent Performance Level 4,40
Chandler Traditional Academy-Freedom,Chandler Unified District #80,Math,383,80,Percent Performance Level 4,39
Chandler Traditional Academy-Humphrey,Chandler Unified District #80,Math,412,57,Percent Performance Level 4,23
Charlotte Patterson Elementary,Chandler Unified District #80,Math,593,76,Percent Performance Level 4,36
Dr Howard K Conley Elementary School,Chandler Unified District #80,Math,387,42,Percent Performance Level 4,10
Dr. Camille Casteel High School,Chandler Unified District #80,Math,2377,54,Percent Performance Level 4,18
Dr. Gary and Annette Auxier Elementary School,Chandler Unified District #80,Math,518,59,Percent Performance Level 4,23
Frye Elementary School,Chandler Unified District #80,Math,284,19,Percent Performance Level 4,2
Galveston Elementary School,Chandler Unified District #80,Math,349,35,Percent Performance Level 4,9
Haley Elementary,Chandler Unified District #80,Math,584,62,Percent Performance Level 4,27
Hamilton High School,Chandler Unified District #80,Math,2027,54,Percent Performance Level 4,17
Hartford Sylvia Encinas Elementary,Chandler Unified District #80,Math,419,41,Percent Performance Level 4,15
